Iteration,CPUTime,PhysTime,Travels,Value,AvValue,MinValue,MaxValue,Delta,Criteria,PrevAvRefValue,Progress,CriteriaType,CriteriaVarType,CriteriaPercentage
69,252,0,0.636487515,3.89656E-06,3.89656E-06,3.89656E-06,3.89656E-06,1.69407E-21,0,0,0,0,0,3
70,255,0,0.645711972,3.89656E-06,3.89656E-06,3.89656E-06,3.89656E-06,1.69407E-21,0,0,0,0,0,3
71,258,0,0.654936429,3.89656E-06,3.89656E-06,3.89656E-06,3.89656E-06,1.69407E-21,0,0,0,0,0,3
72,262,0,0.664160886,3.89656E-06,3.89656E-06,3.89656E-06,3.89656E-06,1.69407E-21,0,0,0,0,0,3
73,265,0,0.673385342,3.89656E-06,3.89656E-06,3.89656E-06,3.89656E-06,1.69407E-21,0,0,0,0,0,3
74,269,0,0.682609799,3.89656E-06,3.89656E-06,3.89656E-06,3.89656E-06,1.69407E-21,0,0,0,0,0,3
75,273,0,0.691834256,3.89656E-06,3.89656E-06,3.89656E-06,3.89656E-06,1.69407E-21,0,0,0,0,0,3
76,277,0,0.701058712,3.89656E-06,3.89656E-06,3.89656E-06,3.89656E-06,1.69407E-21,0,0,0,0,0,3
77,281,0,0.710283169,3.89656E-06,3.89656E-06,3.89656E-06,3.89656E-06,1.69407E-21,0,0,0,0,0,3
78,285,0,0.719507626,3.89656E-06,3.89656E-06,3.89656E-06,3.89656E-06,1.69407E-21,0,0,0,0,0,3
79,289,0,0.728732083,3.89656E-06,3.89656E-06,3.89656E-06,3.89656E-06,1.69407E-21,0,0,0,0,0,3
80,292,0,0.737956539,3.89656E-06,3.89656E-06,3.89656E-06,3.89656E-06,8.47033E-22,0,0,0,0,0,3
81,296,0,0.747180996,3.89656E-06,3.89656E-06,3.89656E-06,3.89656E-06,8.47033E-22,0,0,0,0,0,3
82,299,0,0.756405453,3.89656E-06,3.89656E-06,3.89656E-06,3.89656E-06,8.47033E-22,0,0,0,0,0,3
83,303,0,0.76562991,3.89656E-06,3.89656E-06,3.89656E-06,3.89656E-06,8.47033E-22,0,0,0,0,0,3
84,307,0,0.774854366,3.89656E-06,3.89656E-06,3.89656E-06,3.89656E-06,8.47033E-22,0,0,0,0,0,3
85,311,0,0.784078823,3.89656E-06,3.89656E-06,3.89656E-06,3.89656E-06,8.47033E-22,0,0,0,0,0,3
86,314,0,0.79330328,3.89656E-06,3.89656E-06,3.89656E-06,3.89656E-06,8.47033E-22,0,0,0,0,0,3
87,318,0,0.802527737,3.89656E-06,3.89656E-06,3.89656E-06,3.89656E-06,8.47033E-22,0,0,0,0,0,3
88,321,0,0.811752193,3.89656E-06,3.89656E-06,3.89656E-06,3.89656E-06,8.47033E-22,0,0,0,0,0,3
89,325,0,0.82097665,3.89656E-06,3.89656E-06,3.89656E-06,3.89656E-06,8.47033E-22,0,0,0,0,0,3
90,328,0,0.830201107,3.89656E-06,3.89656E-06,3.89656E-06,3.89656E-06,8.47033E-22,0,0,0,0,0,3
91,332,0,0.839425564,3.89656E-06,3.89656E-06,3.89656E-06,3.89656E-06,8.47033E-22,0,0,0,0,0,3
92,336,0,0.84865002,3.89656E-06,3.89656E-06,3.89656E-06,3.89656E-06,8.47033E-22,0,0,0,0,0,3
93,339,0,0.857874477,3.89656E-06,3.89656E-06,3.89656E-06,3.89656E-06,8.47033E-22,0,0,0,0,0,3
94,343,0,0.867098934,3.89656E-06,3.89656E-06,3.89656E-06,3.89656E-06,8.47033E-22,0,0,0,0,0,3
95,347,0,0.876323391,3.89656E-06,3.89656E-06,3.89656E-06,3.89656E-06,8.47033E-22,0,0,0,0,0,3
96,350,0,0.885547847,3.89656E-06,3.89656E-06,3.89656E-06,3.89656E-06,8.47033E-22,0,0,0,0,0,3
97,354,0,0.894772304,3.89656E-06,3.89656E-06,3.89656E-06,3.89656E-06,8.47033E-22,0,0,0,0,0,3
98,358,0,0.903996761,3.89656E-06,3.89656E-06,3.89656E-06,3.89656E-06,8.47033E-22,0,0,0,0,0,3
99,362,0,0.913221218,3.89656E-06,3.89656E-06,3.89656E-06,3.89656E-06,8.47033E-22,0,0,0,0,0,3
100,366,0,0.922445674,3.89656E-06,3.89656E-06,3.89656E-06,3.89656E-06,8.47033E-22,0,0,0,0,0,3
101,372,0,0.931670131,3.89656E-06,3.89656E-06,3.89656E-06,3.89656E-06,8.47033E-22,0,0,0,0,0,3
102,375,0,0.940894588,3.89656E-06,3.89656E-06,3.89656E-06,3.89656E-06,8.47033E-22,0,0,0,0,0,3
103,379,0,0.950119045,3.89656E-06,3.89656E-06,3.89656E-06,3.89656E-06,8.47033E-22,0,0,0,0,0,3
104,382,0,0.959343501,3.89656E-06,3.89656E-06,3.89656E-06,3.89656E-06,8.47033E-22,0,0,0,0,0,3
105,386,0,0.968567958,3.89656E-06,3.89656E-06,3.89656E-06,3.89656E-06,8.47033E-22,0,0,0,0,0,3
106,389,0,0.977792415,3.89656E-06,3.89656E-06,3.89656E-06,3.89656E-06,0,0,0,0,0,0,3
107,393,0,0.987016872,3.89656E-06,3.89656E-06,3.89656E-06,3.89656E-06,0,0,0,0,0,0,3
108,396,0,0.996241328,3.89656E-06,3.89656E-06,3.89656E-06,3.89656E-06,0,0,0,0,0,0,3
109,399,0,1.00546579,3.89656E-06,3.89656E-06,3.89656E-06,3.89656E-06,0,0.00000001,0,100,0,0,3
110,403,0,1.01469024,3.89656E-06,3.89656E-06,3.89656E-06,3.89656E-06,0,0.00000001,0,100,0,0,3
111,407,0,1.0239147,3.89656E-06,3.89656E-06,3.89656E-06,3.89656E-06,0,0.00000001,0,100,0,0,3
112,411,0,1.03313916,3.89656E-06,3.89656E-06,3.89656E-06,3.89656E-06,0,0.00000001,0,100,0,0,3
113,414,0,1.04236361,3.89656E-06,3.89656E-06,3.89656E-06,3.89656E-06,0,0.00000001,0,100,0,0,3
114,418,0,1.05158807,3.89656E-06,3.89656E-06,3.89656E-06,3.89656E-06,0,0.00000001,0,100,0,0,3
115,422,0,1.06081253,3.89656E-06,3.89656E-06,3.89656E-06,3.89656E-06,0,0.00000001,0,100,0,0,3
116,426,0,1.07003698,3.89656E-06,3.89656E-06,3.89656E-06,3.89656E-06,0,0.00000001,0,100,0,0,3
117,429,0,1.07926144,3.89656E-06,3.89656E-06,3.89656E-06,3.89656E-06,0,0.00000001,0,100,0,0,3
118,433,0,1.0884859,3.89656E-06,3.89656E-06,3.89656E-06,3.89656E-06,0,0.00000001,0,100,0,0,3
119,436,0,1.09771035,3.89656E-06,3.89656E-06,3.89656E-06,3.89656E-06,0,0.00000001,0,100,0,0,3
120,439,0,1.10693481,3.89656E-06,3.89656E-06,3.89656E-06,3.89656E-06,0,0.00000001,0,100,0,0,3
121,443,0,1.11615927,3.89656E-06,3.89656E-06,3.89656E-06,3.89656E-06,0,0.00000001,0,100,0,0,3
122,447,0,1.12538372,3.89656E-06,3.89656E-06,3.89656E-06,3.89656E-06,0,0.00000001,0,100,0,0,3
