Iteration,CPUTime,PhysTime,Travels,Value,AvValue,MinValue,MaxValue,Delta,Criteria,PrevAvRefValue,Progress,CriteriaType,CriteriaVarType,CriteriaPercentage
94,343,0,0.867098934,0.228769287,0.22876623,0.228730277,0.2287919,6.1623E-05,0,0,0,0,0,3
95,347,0,0.876323391,0.228788091,0.228767102,0.228730277,0.2287919,6.1623E-05,0,0,0,0,0,3
96,350,0,0.885547847,0.228772641,0.228767687,0.228730277,0.2287919,6.1623E-05,0,0,0,0,0,3
97,354,0,0.894772304,0.228770294,0.228768318,0.228730277,0.2287919,6.1623E-05,0,0,0,0,0,3
98,358,0,0.903996761,0.228768568,0.228769014,0.228735365,0.2287919,5.65348E-05,0,0,0,0,0,3
99,362,0,0.913221218,0.228768592,0.228769619,0.228742591,0.2287919,4.93087E-05,0,0,0,0,0,3
100,366,0,0.922445674,0.228786087,0.228770156,0.228742591,0.2287919,4.93087E-05,0,0,0,0,0,3
101,372,0,0.931670131,0.228770826,0.228770403,0.228742591,0.2287919,4.93087E-05,0,0,0,0,0,3
102,375,0,0.940894588,0.228770032,0.228770773,0.228742591,0.2287919,4.93087E-05,0,0,0,0,0,3
103,379,0,0.950119045,0.22876948,0.228770959,0.228742591,0.2287919,4.93087E-05,0,0,0,0,0,3
104,382,0,0.959343501,0.228786317,0.228771754,0.228760423,0.2287919,3.14772E-05,0,0,0,0,0,3
105,386,0,0.968567958,0.228769957,0.228771853,0.228760423,0.2287919,3.14772E-05,0,0,0,0,0,3
106,389,0,0.977792415,0.228768484,0.228771893,0.228760423,0.2287919,3.14772E-05,0,0,0,0,0,3
107,393,0,0.987016872,0.228767144,0.22877189,0.228760423,0.2287919,3.14772E-05,0,0,0,0,0,3
108,396,0,0.996241328,0.228784748,0.228772175,0.228760423,0.2287919,3.14772E-05,0,0,0,0,0,3
109,399,0,1.00546579,0.228768869,0.228772131,0.228760423,0.2287919,3.14772E-05,3.63404E-06,0,11.5,0,0,3
110,403,0,1.01469024,0.228767979,0.228772084,0.228760423,0.2287919,3.14772E-05,3.63404E-06,0,11.5,0,0,3
111,407,0,1.0239147,0.228768564,0.228772074,0.228760423,0.2287919,3.14772E-05,3.63404E-06,0,11.5,0,0,3
112,411,0,1.03313916,0.228785772,0.228772414,0.228760423,0.2287919,3.14772E-05,3.63404E-06,0,11.5,0,0,3
113,414,0,1.04236361,0.22877108,0.228772488,0.228760423,0.2287919,3.14772E-05,3.63404E-06,0,11.5,0,0,3
114,418,0,1.05158807,0.228770821,0.228772633,0.228760423,0.2287919,3.14772E-05,3.63404E-06,0,11.5,0,0,3
115,422,0,1.06081253,0.228770434,0.228772465,0.228760423,0.2287919,3.14772E-05,3.63404E-06,0,11.5,0,0,3
116,426,0,1.07003698,0.228786826,0.228772578,0.228760423,0.2287919,3.14772E-05,3.63404E-06,0,11.5,0,0,3
117,429,0,1.07926144,0.228771714,0.228772641,0.228760423,0.2287919,3.14772E-05,3.63404E-06,0,11.5,0,0,3
118,433,0,1.0884859,0.228770603,0.228772826,0.228760799,0.2287919,3.1101E-05,3.63404E-06,0,11.6,0,0,3
119,436,0,1.09771035,0.228770298,0.228772983,0.228760799,0.2287919,3.1101E-05,3.63404E-06,0,11.6,0,0,3
120,439,0,1.10693481,0.228786035,0.228773368,0.228760799,0.2287919,3.1101E-05,3.63404E-06,0,11.6,0,0,3
121,443,0,1.11615927,0.228771178,0.228773477,0.228760799,0.2287919,3.1101E-05,3.63404E-06,0,11.6,0,0,3
122,447,0,1.12538372,0.228770189,0.228773506,0.228760799,0.2287919,3.1101E-05,3.63404E-06,0,11.6,0,0,3
123,451,0,1.13460818,0.228769499,0.228773618,0.228760799,0.2287919,3.1101E-05,3.63404E-06,0,11.6,0,0,3
124,454,0,1.14383264,0.22878227,0.228773633,0.228760799,0.2287919,3.1101E-05,3.63404E-06,0,11.6,0,0,3
125,457,0,1.15305709,0.228767838,0.22877343,0.228760799,0.2287919,3.1101E-05,3.63404E-06,0,11.6,0,0,3
126,461,0,1.16228155,0.228767347,0.228773316,0.228760799,0.2287919,3.1101E-05,3.63404E-06,0,11.6,0,0,3
127,464,0,1.17150601,0.228768483,0.228773365,0.228760799,0.2287919,3.02411E-05,3.63404E-06,0,12,0,0,3
128,468,0,1.18073046,0.228786041,0.228773741,0.228760799,0.2287919,2.91815E-05,3.63404E-06,0,12.4,0,0,3
129,471,0,1.18995492,0.228772336,0.22877387,0.228760799,0.2287919,2.80832E-05,3.63404E-06,0,12.9,0,0,3
130,475,0,1.19917938,0.228769269,0.228773858,0.228760799,0.2287919,2.68354E-05,3.63404E-06,0,13.5,0,0,3
131,478,0,1.20840383,0.228769918,0.228773845,0.228760799,0.2287919,2.52239E-05,3.63404E-06,0,14.4,0,0,3
132,482,0,1.21762829,0.228786539,0.228773775,0.228760799,0.2287919,2.35692E-05,3.63404E-06,0,15.4,0,0,3
133,486,0,1.22685275,0.228772556,0.228773424,0.228760799,0.228788091,2.20677E-05,3.63404E-06,0,16.4,0,0,3
134,490,0,1.2360772,0.228772113,0.228773226,0.228760799,0.228788091,2.07191E-05,3.63404E-06,0,17.5,0,0,3
135,493,0,1.24530166,0.228771295,0.228773236,0.228760799,0.228788091,1.95163E-05,3.63404E-06,0,18.6,0,0,3
136,497,0,1.25452612,0.228788765,0.228773627,0.228760799,0.228788765,1.84666E-05,3.63404E-06,0,19.6,0,0,3
137,500,0,1.26375057,0.22877373,0.228773832,0.228760799,0.228788765,1.74932E-05,3.63404E-06,0,20.7,0,0,3
138,503,0,1.27297503,0.228771791,0.228774032,0.228762607,0.228788765,1.63113E-05,3.63404E-06,0,22.2,0,0,3
139,507,0,1.28219949,0.228770994,0.228773882,0.228762607,0.228788765,1.52063E-05,3.63404E-06,0,23.8,0,0,3
140,510,0,1.29142394,0.228786336,0.22877417,0.228762607,0.228788765,1.4549E-05,3.63404E-06,0,24.9,0,0,3
141,514,0,1.3006484,0.228770658,0.228774296,0.228762607,0.228788765,1.36553E-05,3.63404E-06,0,26.6,0,0,3
142,517,0,1.30987286,0.228769349,0.228774418,0.228767144,0.228788765,1.30119E-05,3.63404E-06,0,27.9,0,0,3
143,520,0,1.31909731,0.228768538,0.228774388,0.228767144,0.228788765,1.17335E-05,3.63404E-06,0,30.9,0,0,3
144,524,0,1.32832177,0.22878412,0.228774322,0.228767144,0.228788765,1.07807E-05,3.63404E-06,0,33.7,0,0,3
145,527,0,1.33754623,0.228769676,0.228774066,0.228767144,0.228788765,9.96409E-06,3.63404E-06,0,36.4,0,0,3
146,531,0,1.34677068,0.228768655,0.228773864,0.228767144,0.228788765,9.42817E-06,3.63404E-06,0,38.5,0,0,3
147,534,0,1.35599514,0.228768752,0.228773837,0.228767144,0.228788765,8.70737E-06,3.63404E-06,0,41.7,0,0,3
148,538,0,1.3652196,0.228785039,0.228774051,0.228767144,0.228788765,8.18869E-06,3.63404E-06,0,44.3,0,0,3
149,541,0,1.37444405,0.228770882,0.22877408,0.228767144,0.228788765,7.31623E-06,3.63404E-06,0,49.6,0,0,3
150,545,0,1.38366851,0.228770504,0.22877376,0.228767144,0.228788765,6.73092E-06,3.63404E-06,0,53.9,0,0,3
151,549,0,1.39289297,0.228769835,0.228773709,0.228767144,0.228788765,6.09995E-06,3.63404E-06,0,59.5,0,0,3
152,552,0,1.40211742,0.228785948,0.228773994,0.228767144,0.228788765,5.40375E-06,3.63404E-06,0,67.2,0,0,3
153,556,0,1.41134188,0.228770969,0.228774038,0.228767144,0.228788765,4.79961E-06,3.63404E-06,0,75.7,0,0,3
154,560,0,1.42056634,0.228770473,0.228774072,0.228767144,0.228788765,4.26255E-06,3.63404E-06,0,85.2,0,0,3
155,563,0,1.4297908,0.228769871,0.228773777,0.228767144,0.228788765,4.01507E-06,3.63404E-06,0,90.5,0,0,3
156,567,0,1.43901525,0.228785901,0.228774051,0.228767144,0.228788765,3.64514E-06,3.63404E-06,0,99.6,0,0,3
157,570,0,1.44823971,0.228771513,0.228774078,0.228767144,0.228788765,3.45933E-06,3.63404E-06,0,100,0,0,3
